Track ID,Title,Album,Artist,BPM,Comment,Composer,Genre,Grouping,ISRC,Lyrics,ProNumber,Release Date,Year,External ID,Internal comment,Client comment,
44077375,TIL I'M DYIN' I'M TRYIN' - INSTRO,Busting Out,G Putnam Music,96,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,"Rock, Pop, Indie",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,,911311979,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
44080078,IMAGINE IF - INSTRO,Remembering Forgetting,G Putnam Music,61,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Singer/Songwriter,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-20-00105,,906109598,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
44080109,SOMEWHERE INSIDE - INSTRO,Clearly,Cindy Youngren,69,HERE FOR YOUR EAR!,G Putnam (100%) ASCAP,"Pop, Indie ",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00018,,911311725,,2008,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
63893177,MY BABY LEFT ME - INSTRO,Slight Light,G Putnam Music,71,HERE FOR YOUR EAR!,G Putnam (100%) ASCAP,"Folk Rock, BGVs-OHs",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00097,Available,914229847,,2019,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
